Container_Number,Orders,Weight_Used,Volume_Used,Pallets_Used,Weight_Utilization_%,Volume_Utilization_%,Pallet_Utilization_%,Remaining_Weight,Remaining_Volume,Remaining_Pallets
1,"[50097028, 68793187, 78405802, 86882948]",44746.0,3203.0,56.0,99.43555555555557,88.97222222222221,93.33333333333331,254.0,397.0,4.0
2,"[64566630, 94677527]",43589.0,3572.0,58.0,96.86444444444444,99.22222222222224,96.66666666666669,1411.0,28.0,2.0
3,"[28164157, 19275061, 21757191]",44886.0,3495.0,40.0,99.74666666666666,97.08333333333331,66.66666666666666,114.0,105.0,20.0
4,"[60594081, 61704862, 15517139]",41958.0,3518.0,60.0,93.24,97.72222222222224,100.0,3042.0,82.0,0.0
5,"[44361973, 83821078, 85318673, 16872889]",44543.0,3586.0,32.0,98.98444444444443,99.6111111111111,53.333333333333336,457.0,14.0,28.0
6,"[96256394, 29185766, 87060902]",44639.0,3191.0,42.0,99.19777777777776,88.63888888888889,70.0,361.0,409.0,18.0
7,"[76803925, 45848286, 88018618]",44826.0,3524.0,36.0,99.61333333333332,97.88888888888889,60.0,174.0,76.0,24.0
8,"[83678735, 36587984, 89309989]",44592.0,3474.0,49.0,99.09333333333332,96.5,81.66666666666667,408.0,126.0,11.0
9,"[39825791, 88970241]",44997.0,991.0,52.0,99.99333333333334,27.52777777777778,86.66666666666667,3.0,2609.0,8.0
10,"[24396460, 97560046, 93374760]",44752.0,3571.0,57.0,99.44888888888887,99.19444444444444,95.0,248.0,29.0,3.0
11,"[76002209, 96922646]",44643.0,3597.0,45.0,99.20666666666666,99.91666666666669,75.0,357.0,3.0,15.0
12,"[70944508, 21580901]",44569.0,2815.0,6.0,99.04222222222222,78.19444444444444,10.0,431.0,785.0,54.0
13,"[43343799, 38662632]",44844.0,2155.0,18.0,99.65333333333334,59.86111111111111,30.0,156.0,1445.0,42.0
14,"[52007731, 30868454, 96879739]",44934.0,2847.0,43.0,99.85333333333334,79.08333333333334,71.66666666666667,66.0,753.0,17.0
15,"[11490628, 77096983]",44693.0,2631.0,54.0,99.31777777777778,73.08333333333333,90.0,307.0,969.0,6.0
16,[35768999],43475.0,3564.0,38.0,96.61111111111111,99.0,63.33333333333333,1525.0,36.0,22.0
17,"[60611567, 74949776, 87617056]",44783.0,3292.0,50.0,99.51777777777778,91.44444444444444,83.33333333333334,217.0,308.0,10.0
18,"[77424112, 89603312]",44889.0,1494.0,19.0,99.75333333333334,41.5,31.666666666666664,111.0,2106.0,41.0
19,"[56017398, 92678679, 98741704]",44891.0,3514.0,36.0,99.75777777777778,97.61111111111111,60.0,109.0,86.0,24.0
20,"[28714744, 43600676, 44359987]",42672.0,3455.0,60.0,94.82666666666668,95.97222222222224,100.0,2328.0,145.0,0.0
