Container,Orders,Weight_Used,Volume_Used,Pallets_Used,Weight_Utilization_%,Volume_Utilization_%,Pallet_Utilization_%,Remaining_Weight,Remaining_Volume,Remaining_Pallets
1,"[11081410, 20788539]",42439,3543,34,94.30888888888887,98.41666666666666,56.66666666666666,2561,57,26
2,"[12457109, 44854259, 74386323]",44528,3549,17,98.95111111111112,98.58333333333331,28.33333333333333,472,51,43
3,"[12690246, 37289053]",44776,3479,60,99.50222222222224,96.63888888888889,100,224,121,0
4,"[13510271, 61932441]",43346,3380,25,96.32444444444444,93.88888888888889,41.66666666666667,1654,220,35
5,"[14124504, 95904906]",44154,3540,40,98.12,98.33333333333331,66.66666666666666,846,60,20
6,"[14529976, 36424766]",44315,3396,24,98.47777777777776,94.33333333333334,40,685,204,36
7,"[14879080, 75802557]",44483,3490,49,98.85111111111112,96.94444444444444,81.66666666666667,517,110,11
8,"[15002933, 70569492]",44111,3576,27,98.02444444444444,99.33333333333331,45,889,24,33
9,"[19784887, 77378782]",44677,3217,38,99.28222222222225,89.36111111111111,63.33333333333333,323,383,22
10,"[19960762, 20772005]",44461,3002,41,98.80222222222224,83.38888888888889,68.33333333333333,539,598,19
11,"[20107277, 52441203]",43788,3387,43,97.30666666666666,94.08333333333331,71.66666666666667,1212,213,17
12,"[20156306, 31425820]",44634,2769,40,99.18666666666668,76.91666666666667,66.66666666666666,366,831,20
13,"[22036703, 50495145]",41297,3523,38,91.77111111111113,97.86111111111111,63.33333333333333,3703,77,22
14,"[23167017, 28236433, 83528024]",44659,3550,59,99.24222222222222,98.61111111111111,98.33333333333331,341,50,1
15,"[23497111, 32333482, 83356749]",44252,3543,52,98.33777777777776,98.41666666666666,86.66666666666667,748,57,8
16,"[16325611, 25563448, 67932493]",44914,3359,57,99.80888888888887,93.30555555555556,95,86,241,3
17,"[27309735, 33852188]",44900,3571,49,99.77777777777776,99.19444444444444,81.66666666666667,100,29,11
18,"[27722306, 85546087]",43210,3375,40,96.02222222222224,93.75,66.66666666666666,1790,225,20
19,"[28502512, 73960768]",44840,2696,36,99.64444444444445,74.88888889,60,160,904,24
20,"[30296598, 45749460]",44695,2759,35,99.32222222222222,76.63888888888889,58.333333333333336,305,841,25
21,"[30780646, 92961659]",43477,3450,49,96.61555555555556,95.83333333333334,81.66666666666667,1523,150,11
22,"[31253124, 31945570]",44920,3138,54,99.82222222222222,87.16666666666667,90,80,462,6
23,"[35376744, 75078490]",44915,2576,30,99.81111111,71.55555555555554,50,85,1024,30
24,"[14406549, 27251899, 36207520]",44739,3354,55,99.42,93.16666666666666,91.66666666666666,261,246,5
25,"[36254165, 40448732]",44311,3483,35,98.46888888888888,96.75,58.333333333333336,689,117,25
26,"[36590132, 36666143, 82346139]",44399,3501,44,98.66444444444444,97.25,73.33333333333333,601,99,16
27,"[16733966, 36718768, 77243638]",44982,3241,35,99.96,90.02777777777777,58.333333333333336,18,359,25
28,"[36765195, 39649842]",42085,3510,57,93.52222222,97.5,95,2915,90,3
29,"[36877335, 51781947]",42793,2816,57,95.09555555555556,78.22222222222223,95,2207,784,3
30,"[30959066, 37309170]",43815,3500,60,97.36666666666667,97.22222222,100,1185,100,0
31,"[21613210, 37782457]",44326,3599,33,98.50222222222224,99.97222222,55.00000000000001,674,1,27
32,"[38598075, 51343863]",44532,3444,55,98.96,95.66666666666669,91.66666666666666,468,156,5
33,"[40119012, 70822829, 84616750]",44829,3582,58,99.62,99.5,96.66666666666669,171,18,2
34,"[40526151, 83548990]",43522,3504,57,96.71555555555555,97.33333333333334,95,1478,96,3
35,"[43321603, 43870784]",43064,3306,19,95.69777778,91.83333333333331,31.666666666666664,1936,294,41
36,[45216707],43437,2317,23,96.52666666666669,64.36111111111111,38.333333333333336,1563,1283,37
37,"[45497232, 93864917]",44993,3271,52,99.98444444444443,90.86111111111111,86.66666666666667,7,329,8
38,"[45936276, 50040486]",44367,3596,50,98.59333333333332,99.88888889,83.33333333333334,633,4,10
39,"[34038888, 51184357, 65467592]",44833,3483,37,99.62888889,96.75,61.66666666666667,167,117,23
40,"[51539579, 52729504, 66229751]",44865,3513,59,99.7,97.58333333333331,98.33333333333331,135,87,1
41,"[54311718, 66432663]",44039,2983,51,97.86444444444444,82.86111111111111,85,961,617,9
42,"[56444787, 88588001]",44896,3564,46,99.76888888888888,99,76.66666666666667,104,36,14
43,"[56648786, 79892986]",44556,3159,54,99.01333333333334,87.75,90,444,441,6
44,"[58111127, 58747026, 59778766]",44057,3508,41,97.90444444444444,97.44444444444444,68.33333333333333,943,92,19
45,"[59741775, 64409390, 78658785]",44590,3447,54,99.08888888888887,95.75,90,410,153,6
46,"[60919573, 89884811]",44257,1330,29,98.34888888888888,36.94444444444444,48.333333333333336,743,2270,31
47,"[61171963, 79012550]",43974,1997,59,97.72,55.47222222222222,98.33333333333331,1026,1603,1
48,"[41573615, 61383030]",44567,3522,57,99.03777777777778,97.83333333333334,95,433,78,3
49,"[29831965, 40249893, 63281648]",44668,3489,45,99.26222222222222,96.91666666666666,75,332,111,15
50,"[58124079, 63586324, 98643627]",44760,3534,58,99.46666666666668,98.16666666666669,96.66666666666669,240,66,2
51,"[64944692, 68188408]",44841,3111,50,99.64666666666666,86.41666666666666,83.33333333333334,159,489,10
52,[66042029],42456,2858,48,94.34666666666666,79.38888888888889,80,2544,742,12
53,"[57321735, 66862380]",42446,3505,56,94.32444444444444,97.36111111111111,93.33333333333331,2554,95,4
54,"[68823411, 88185945]",41170,3294,59,91.48888888888888,91.5,98.33333333333331,3830,306,1
55,"[68895699, 85118671]",44211,3501,29,98.24666666666668,97.25,48.333333333333336,789,99,31
56,"[16722794, 69071649]",44786,3593,35,99.52444444444446,99.80555555555556,58.333333333333336,214,7,25
57,"[45285827, 70719331, 76899081]",43407,3588,46,96.46,99.66666666666669,76.66666666666667,1593,12,14
58,"[70923221, 80049001]",44652,3010,26,99.22666666666666,83.61111111111111,43.333333333333336,348,590,34
59,"[71562938, 88301013]",43175,3417,50,95.94444444444444,94.91666666666669,83.33333333333334,1825,183,10
60,"[72173616, 95984497]",41199,3390,42,91.55333333333331,94.16666666666669,70,3801,210,18
61,"[61726712, 72323382]",42917,2809,52,95.37111111,78.02777777777777,86.66666666666667,2083,791,8
62,"[60076044, 73085672]",44730,2621,53,99.4,72.80555555555556,88.33333333333333,270,979,7
63,"[36430693, 73831628]",42595,3563,38,94.65555555555557,98.97222222,63.33333333333333,2405,37,22
64,"[76273037, 84964768]",42343,3444,47,94.09555555555556,95.66666666666669,78.33333333333333,2657,156,13
65,"[40608333, 68588693, 76400344]",44785,2709,50,99.52222222222224,75.25,83.33333333333334,215,891,10
66,"[33279803, 76636214]",43182,3577,38,95.96,99.36111111111111,63.33333333333333,1818,23,22
67,"[69276729, 76839857]",44403,3399,14,98.67333333333332,94.41666666666669,23.33333333333333,597,201,46
68,"[78176677, 79333425]",44660,2885,59,99.24444444444444,80.13888888888889,98.33333333333331,340,715,1
69,"[40155118, 78334793, 91438554]",44766,3394,13,99.48,94.27777778,21.666666666666668,234,206,47
70,"[17786650, 79988590]",44469,3539,39,98.82,98.30555555555556,65,531,61,21
71,"[55524023, 81236707, 93816485]",44982,3476,60,99.96,96.55555555555554,100,18,124,0
72,"[76435473, 81289459, 83389159]",44749,3221,35,99.44222222222224,89.47222222222221,58.333333333333336,251,379,25
73,"[44409957, 82854414]",42458,3520,37,94.35111111111112,97.77777777777776,61.66666666666667,2542,80,23
74,"[83154690, 99380211]",43809,3132,29,97.35333333333334,87,48.333333333333336,1191,468,31
75,"[26162431, 83423741]",44533,3411,53,98.96222222222222,94.75,88.33333333333333,467,189,7
76,"[49770628, 83958965]",42446,3469,57,94.32444444444444,96.36111111111111,95,2554,131,3
77,"[78035773, 85296118]",44190,3160,53,98.2,87.77777777777777,88.33333333333333,810,440,7
78,"[22624161, 87981724]",44801,3577,54,99.55777777777776,99.36111111111111,90,199,23,6
79,"[42927021, 88195561]",44386,2977,40,98.63555555555556,82.69444444444444,66.66666666666666,614,623,20
80,"[88708842, 90427660]",44770,3346,25,99.48888889,92.94444444444444,41.66666666666667,230,254,35
